Emissions (Million Metric Tons CO2e)
""
**
0.1
0.2
0.5
0.6
1
"1,792.80"
1.4
1.5
1.7
1.9
10.3
10.4
105.6
114.3
13.5
130.1
14.5
177.4
184.1
19.1
19.4
2.3
2.5
2.6
2.7
24.2
25.5
284.4
29.3
29.4
3.8
33.1
35.8
37.5
4.7
46
5
5.2
5.4
53.7
55.8
6.1
66.8
7
7.4
7.8
72.6
75
8.1
8.6
86.5
88.5
9.1
9.2
9.5
93.8
